number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at,created_at_seconds_formatted,updated_at_seconds_formatted,closed_at_seconds_formatted,creator_created_at_seconds_formatted,creator_updated_at_seconds_formatted,time_to_next_issue_timedelta_formatted
32,Console doesn't handle colored regions when reflowed,2017-10-06 17:01:38,2022-04-19 19:59:06,2022-03-21 17:02:37,bitcrazed,0,8,closed,0,CONTRIBUTOR,16,21,0,0,0,0,0,0,0,21,77 days 01:37:09,,746,31,25,17,2011-08-05 19:51:13,2024-10-25 08:27:08,1507309298,1650398346,1647882157,1312573873,1729844828,6658629
41,Using Microbit serial VT100 with WSL Ubuntu gives wrong output and early hangup,2017-12-22 18:38:47,2020-05-16 18:14:36,2020-04-29 01:00:18,mobluse,0,6,closed,1,NONE,5,0,0,0,0,0,0,0,0,0,1 days 00:03:07,Orbin.SE,24,47,71,1,2013-10-25 19:44:06,2024-10-01 17:27:23,1513967927,1589652876,1588122018,1382730246,1727803643,86587
42,Unicode neutral characters width,2017-12-23 18:41:54,2021-11-22 14:18:45,2021-11-22 14:18:35,kghost,0,5,closed,0,NONE,2,1,0,0,0,0,0,0,0,1,,@googlers ,61,1,86,20,2009-11-18 06:25:53,2024-10-23 11:54:54,1514054514,1637590725,1637590715,1258525553,1729684494,
