number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at,created_at_seconds_formatted,updated_at_seconds_formatted,closed_at_seconds_formatted,creator_created_at_seconds_formatted,creator_updated_at_seconds_formatted,time_to_next_issue_timedelta_formatted
7844,Development mode gets access to environment variables it shouldn't,2019-07-09 17:05:20,2024-07-04 00:04:15,2024-06-19 14:00:12,Timer,2,3,closed,1,MEMBER,10,5,0,0,0,0,0,0,2,7,314 days 20:04:07,@vercel,2470,17,148,4,2011-02-14 00:38:27,2024-10-14 18:28:43,1562691920,1720051455,1718805612,1297643907,1728930523,27201847
13092,CSS Modules styles defined in wrong order in development mode,2020-05-19 13:09:27,2024-05-15 00:04:12,2024-04-30 14:54:10,jensmeindertsma,0,5,closed,1,NONE,31,44,0,0,0,0,0,0,0,44,44 days 03:16:21,,17,7,10,1,2020-05-02 05:32:06,2024-10-28 20:53:51,1589893767,1715731452,1714488850,1588397526,1730148831,3813381
14800,Namespace import is not defined during next build (likely webpack ModuleConcatenation error),2020-07-02 16:25:48,2023-02-03 00:03:32,2023-01-03 23:43:20,dvakatsiienko,0,3,closed,1,CONTRIBUTOR,9,0,0,0,0,0,0,0,0,0,,,71,36,8,1,2015-11-09 10:44:45,2023-07-15 18:32:11,1593707148,1675382612,1672789400,1447065885,1689445931,
