number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
14518,[Bug]: coveragePathIgnorePatterns does not seem to ignore files,1694632603,1702426092,1699819459.0,ildella,0,3,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,15604.0,,22,18,45,2,1237926399,1728471752
14519,[Bug]: useReducer codes are not getting covered in unit testing,1694648207,1702512496,1699880730.0,KMadhukumar,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,114379.0,,0,0,0,0,1694645991,1694645991
14531,"Jest 29.7.0 we facing the issue of Unable to find an accessible element with the role ""combobox"" ",1694762586,1697414896,1694766601.0,Kishok978,0,3,closed,1,NONE,2,0,0,0,0,0,0,0,0,0,192521.0,,0,1,0,0,1676291260,1725507928
14536,"[Bug]: When testing the React component, the test report occasionally shows that it has been detected as' executed 'in the middle, but the context has not been executed",1694955107,1702771747,1700139966.0,jwangyangls,0,3,closed,1,NONE,5,0,0,0,0,0,0,0,0,0,211286.0,,1,0,12,0,1498957716,1704195293
14549,[Bug]: Async versions of `runAllTimers`/`runOnlyPendingTimers` don't run code in the microtask queue,1695166393,1701302906,1697817780.0,steveluscher,0,2,closed,1,NONE,14,0,0,0,0,0,0,0,0,0,79457.0,,742,1,56,22,1213121292,1723070310
14555,[Bug]: Jest getMaxWorkers uses too many workers when running in container with Cpus quota/limit,1695245850,1703117292,1700478267.0,Ludo171,0,3,closed,1,NONE,6,4,0,0,0,0,0,0,0,4,38360.0,DBMI - Harvard Medical School,2,0,17,0,1509030502,1728488286
14556,[Bug]: regression: inline snapshot indent at col 0,1695284210,1698192472,1695539247.0,rlindner81,0,2,closed,1,NONE,9,0,0,0,0,0,0,0,0,0,37016.0,,10,18,19,0,1415358366,1729240795
14558,[Bug]: copying of jest root config to projects is broken/unintuitive,1695321226,1716422921,1713794666.0,dancrumb,0,3,closed,1,NONE,16,4,0,0,0,0,0,0,0,4,87298.0,,41,28,121,21,1268420018,1728316902
14561,[Bug]: Coverage calculation is off when a React.lazy line spans multiple lines,1695408524,1703549307,1700871288.0,chulinguy,0,3,closed,1,NONE,6,0,0,0,0,0,0,0,0,0,50512.0,,9,5,51,1,1487898423,1726613866
14563,"[Bug]: ""path too long"" on Windows",1695459036,1698192475,1695539856.0,soryy708,0,2,closed,1,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,200600.0,@blnce-io,18,21,64,0,1345047021,1725555734
14569,[Bug]: `advanceTimersByTime` with a duration greater than a year fails and causes other tests to fail,1695659636,1703549302,1700910233.0,chetbox,0,3,closed,1,NONE,5,0,0,0,0,0,0,0,0,0,13447.0,,41,29,85,21,1275374372,1727792518
14571,[Bug]: HTML `inert` attribute does not behave as expected ,1695673083,1703635696,1700985860.0,TheSonOfThomp,0,3,closed,1,NONE,6,0,0,0,0,0,0,0,0,0,57247.0,@mongodb ,12,11,32,12,1348511477,1726102719
14572,[Bug]: not covering all test cases in latest jest versions,1695730330,1698451658,1695794622.0,kiranpattar,0,3,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,2183.0,,0,0,3,0,1449334736,1727756882
14574,[Bug]: Jest does not find tests within a symlinked dir on Windows,1695732513,1703549299,1700921038.0,piggz,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,62961.0,,49,0,119,2,1370724864,1725451007
14577,[Bug]: Jest 27.0.1  doesnt cover all test cases,1695795474,1698451655,1695796393.0,kiranpattar,0,2,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,49313.0,,0,0,3,0,1449334736,1727756882
14580,[Bug]: assigning error listener to stdout produces memory leak warning,1695844787,1701043701,1698438055.0,gajus,0,3,closed,1,NONE,2,1,0,0,0,0,0,0,0,1,232824.0,,2502,536,321,90,1313056841,1728656374
14585,[Bug]: `toEqual` with `URL` not work on node v20,1696077611,1701648532,1699001567.0,bluelovers,0,3,closed,1,NONE,2,0,0,0,0,0,0,0,0,0,184429.0,bluelovers,130,181,707,33,1260895177,1727704561
14592,[Bug]: ES module - Mock a function of a module,1696262040,1698970081,1696262278.0,foulong,0,2,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,69443.0,,0,0,8,0,1509661315,1696260927
14596,[Bug]: unable to verify the first certificate using Jest ,1696331483,1702512499,1699858472.0,shivamsouravjha,0,2,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,19980.0,@keploy ,186,48,84,2,1581352686,1729201076
14597,[Bug]: Assertion count should be cleared before running the first test in a test suite,1696351463,1704154109,1701540262.0,jimpri89,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,61826.0,,0,0,0,0,1688588757,1726340655
