number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at,created_at_seconds_formatted,updated_at_seconds_formatted,closed_at_seconds_formatted,creator_created_at_seconds_formatted,creator_updated_at_seconds_formatted,time_to_next_issue_timedelta_formatted
34,Photon generation fails for a datamodel with back relations,2019-06-06 13:54:46,2020-01-11 16:09:27,2020-01-11 16:09:27,divyenduz,1,2,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,3 days 22:32:00,,216,6,28,1,2011-04-22 20:14:18,2024-10-17 11:58:07,1559829286,1578758967,1578758967,1303503258,1729166287,340320
33,`@default` doesnt work for enum,2019-06-10 12:26:46,2023-11-23 12:26:13,2020-03-19 09:11:40,nikolasburk,1,2,closed,0,MEMBER,9,3,0,0,0,0,0,0,0,3,1 days 22:36:36,@prisma ,764,0,202,43,2013-04-04 11:30:48,2024-07-23 20:09:45,1560169606,1700742373,1584609100,1365075048,1721765385,167796
31,Improve error message when DB not migrated,2019-06-12 11:03:22,2020-01-09 17:01:32,2020-01-09 17:01:31,schickling,0,2,closed,0,MEMBER,2,0,0,0,0,0,0,0,0,0,,,2055,68,72,57,2012-03-23 08:57:37,2024-10-31 06:20:28,1560337402,1578589292,1578589291,1332493057,1730355628,
