number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at,created_at_seconds_formatted,updated_at_seconds_formatted,closed_at_seconds_formatted,creator_created_at_seconds_formatted,creator_updated_at_seconds_formatted,time_to_next_issue_timedelta_formatted
3,Omnisharp not included in Linux build,2015-11-13 16:34:23,2017-11-18 20:41:38,2015-11-14 06:32:48,isidorn,1,2,closed,1,CONTRIBUTOR,6,0,0,0,0,0,0,0,0,0,0 days 00:10:43,Microsoft,335,0,14,10,2012-07-05 10:05:01,2024-09-19 12:00:11,1447432463,1511037698,1447482768,1341482701,1726747211,643
4,"C# bracket insertion, indentation not working",2015-11-13 16:45:06,2017-11-18 22:46:17,2015-11-16 11:29:58,chrisdias,1,2,closed,1,MEMBER,1,0,0,0,0,0,0,0,0,0,0 days 00:03:12,@Microsoft ,190,2,60,5,2012-03-01 01:12:33,2024-10-12 20:21:26,1447433106,1511045177,1447673398,1330564353,1728764486,192
5,welcome.md packaged wrongly,2015-11-13 16:48:18,2017-11-18 21:51:15,2015-11-14 05:42:28,isidorn,1,2,closed,1,CONTRIBUTOR,0,0,0,0,0,0,0,0,0,0,,Microsoft,335,0,14,10,2012-07-05 10:05:01,2024-09-19 12:00:11,1447433298,1511041875,1447479748,1341482701,1726747211,
