number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at,created_at_seconds_formatted,updated_at_seconds_formatted,closed_at_seconds_formatted,creator_created_at_seconds_formatted,creator_updated_at_seconds_formatted,time_to_next_issue_timedelta_formatted
21,Suggestion: disallow use before definition,2014-07-15 17:43:31,2018-06-18 18:35:36,2015-04-21 22:47:02,RyanCavanaugh,0,1,closed,1,MEMBER,29,3,0,0,0,0,0,0,0,3,0 days 01:29:23,Microsoft,2194,0,130,13,2014-02-14 19:19:00,2024-10-15 21:35:16,1405446211,1529346936,1429656422,1392405540,1729028116,5363
22,No errors reported for unclosed multiline comments.,2014-07-15 19:12:54,2018-06-18 18:35:36,2014-07-15 19:21:48,DanielRosenwasser,1,2,closed,1,MEMBER,0,0,0,0,0,0,0,0,0,0,0 days 02:14:15,@Microsoft,2281,18,173,6,2011-08-11 02:09:39,2024-10-16 11:20:30,1405451574,1529346936,1405452108,1313028579,1729077630,8055
24,Compiler crash when file casing differs,2014-07-15 21:27:09,2018-06-18 18:35:37,2014-07-17 21:34:21,RyanCavanaugh,0,2,closed,1,MEMBER,1,0,0,0,0,0,0,0,0,0,,Microsoft,2194,0,130,13,2014-02-14 19:19:00,2024-10-15 21:35:16,1405459629,1529346937,1405632861,1392405540,1729028116,
