number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at,created_at_seconds_formatted,updated_at_seconds_formatted,closed_at_seconds_formatted,creator_created_at_seconds_formatted,creator_updated_at_seconds_formatted,time_to_next_issue_timedelta_formatted
358,SWIG signature mismatch at RecordWriter,2015-11-26 03:24:27,2017-02-09 22:02:27,2015-12-01 01:46:08,raingo,1,1,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,2 days 20:15:06,U of Rochester,33,4,52,1,2011-02-08 11:11:02,2020-09-28 21:46:15,1448508267,1486677747,1448934368,1297163462,1601329575,245706
375,CUDA headers not found when implementing GPU kernel for user-op,2015-11-28 23:39:33,2019-05-29 10:46:29,2016-02-19 07:45:29,hannes-brt,0,1,closed,0,NONE,6,0,0,0,0,0,0,0,0,0,1 days 19:04:02,University of Toronto,111,6,19,12,2010-07-05 10:19:15,2024-10-24 14:10:57,1448753973,1559126789,1455867929,1278325155,1729779057,155042
378,matmul gradients incorrect with complex64 tensors,2015-11-30 18:43:35,2018-09-19 20:27:22,2018-09-19 20:27:22,mborgerding,0,2,closed,0,CONTRIBUTOR,12,0,0,0,0,0,0,0,0,0,,"3dB Labs, Inc.",67,2,6,2,2015-05-22 15:05:09,2024-08-19 15:15:54,1448909015,1537388842,1537388842,1432307109,1724080554,
