number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at,created_at_seconds_formatted,updated_at_seconds_formatted,closed_at_seconds_formatted,creator_created_at_seconds_formatted,creator_updated_at_seconds_formatted,time_to_next_issue_timedelta_formatted
42627,[SR-1] Linux: remove Swift dependence on the swift.ld linker script,2015-11-06 04:16:41,2022-04-25 06:56:54,2018-05-06 22:27:28,jopamer,0,2,closed,0,CONTRIBUTOR,8,0,0,0,0,0,0,0,0,0,0 days 01:28:56,,92,1,6,0,2011-02-15 04:20:38,2024-07-11 19:17:52,1446783401,1650869814,1525645648,1297743638,1720725472,5336
42629,[SR-3] #if doesn't allow newlines,2015-11-06 05:45:37,2022-04-25 06:56:55,2020-07-23 15:12:02,jopamer,0,3,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,0 days 00:01:52,,92,1,6,0,2011-02-15 04:20:38,2024-07-11 19:17:52,1446788737,1650869815,1595517122,1297743638,1720725472,112
42630,[SR-4] API availability checks are not implemented for non-Darwin platforms,2015-11-06 05:47:29,2024-04-01 06:45:20,,jopamer,0,2,open,0,CONTRIBUTOR,1,0,0,0,0,0,0,0,0,0,,,92,1,6,0,2011-02-15 04:20:38,2024-07-11 19:17:52,1446788849,1711953920,,1297743638,1720725472,
