number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
633,`grunt test:webdriver:saucelabs:ios` → Error: Error response status: 13,1386189763,1418250817,1418250817.0,subtleGradient,1,1,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,271167.0,@frens-app ,876,39,174,226,1206819304,1726433941
643,Fix scrollLeft/scrollTop warning in latest Chrome,1386460930,1402579648,1388983296.0,sophiebits,1,1,closed,0,COLLABORATOR,3,0,0,0,0,0,0,0,0,0,1968684.0,,10050,0,169,28,1207953759,1727030459
747,Set currentTarget on synthetic events,1388429614,1403121378,1388983309.0,sophiebits,1,1,closed,0,COLLABORATOR,2,0,0,0,0,0,0,0,0,0,277818.0,,10050,0,169,28,1207953759,1727030459
789,Set target properties explicitly for enter/leave,1388707432,1404975417,1389053796.0,sophiebits,1,1,closed,0,COLLABORATOR,0,0,0,0,0,0,0,0,0,0,425216.0,,10050,0,169,28,1207953759,1727030459
836,Support flex CSS property better,1389132648,1390026744,1390026744.0,zpao,1,2,closed,0,MEMBER,10,0,0,0,0,0,0,0,0,0,544.0,@facebook ,4877,24,160,94,1209098302,1728240492
837,Detect vendor prefixes for CSS numeric value detection,1389133192,1392278120,1392278120.0,zpao,1,1,closed,0,MEMBER,3,0,0,0,0,0,0,0,0,0,164371.0,@facebook ,4877,24,160,94,1209098302,1728240492
856,Only run tests built from files that exist in src/,1389297563,1390874478,1390874478.0,benjamn,1,3,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,10731.0,"Apollo Graph, Inc (formerly: Meteor, Facebook/Instagram, Quora, Mozilla)",2816,231,166,68,1207625195,1721594065
858,Iframe's reinitialise when moving down within a group of components,1389308294,1658156527,1506896249.0,pieterv,0,3,closed,0,MEMBER,22,0,0,0,0,0,0,0,0,0,1769670.0,Facebook,259,47,39,8,1287001139,1726364029
996,Ignore whitespace in the container element when reusing markup,1391077964,1499826083,1499826083.0,Rowno,0,1,closed,0,NONE,11,0,0,0,0,0,0,0,0,0,1956747.0,@UpstockApp ,108,16,24,1,1297112596,1701406052
1159,Provide a way to handle browser-autocompleted form values on controlled components,1393034711,1718950424,,ericflo,0,2,open,0,CONTRIBUTOR,87,159,0,0,0,0,0,1,0,160,225622.0,N/A,868,230,71,50,1204152628,1728104648
1169,MobileSafariClickEventPlugin requires touch events to be initialized,1393260333,1631577850,1426026698.0,Simek,0,2,closed,1,CONTRIBUTOR,39,0,0,0,0,0,0,0,0,0,947202.0,@expo,349,199,157,4,1302379217,1727436166
1232,Switching from dangerouslySetInnerHTML to children,1394207535,1449463434,1437436621.0,kcarnold,0,1,closed,0,NONE,17,0,0,0,0,0,0,0,0,0,452494.0,,65,4,99,37,1219093321,1729250670
1252,noscript contents cause invariant violation,1394660029,1509725788,1509725788.0,matthewwithanm,0,2,closed,0,CONTRIBUTOR,18,0,0,0,0,0,0,0,0,0,71.0,,510,8,118,11,1252802840,1729293221
1253,iframe contents cause invariant violation,1394660100,1712904465,,matthewwithanm,0,2,open,0,CONTRIBUTOR,8,2,0,1,0,0,0,0,0,3,383256.0,,510,8,118,11,1252802840,1729293221
1263,Error: Invariant Violation: ReactMount: Two valid but unequal nodes with the same `data-reactid`,1395043356,1396017661,1395971428.0,dlindahl,1,1,closed,0,NONE,23,0,0,0,0,0,0,0,0,0,2063148.0,,42,1,89,8,1235060049,1725170790
1392,Refs should be updated even if shouldComponentUpdate returns false,1397106504,1414026090,1414026090.0,sophiebits,0,1,closed,0,COLLABORATOR,0,0,0,0,0,0,0,0,0,0,108458.0,,10050,0,169,28,1207953759,1727030459
